Year,Mean_year,Q1,Q2,Q3,Q4,Jan,Feb,March,April,May,June,July,August,Sept,October,November,December
1991,0.548,NA,NA,NA,NA,0.308,0.294,0.337,0.373,0.438,0.493,0.541,0.548,0.613,0.703,0.839,1.195
1992,6,2.1,4,6.3,12.1,1.4,2,2.7,3.1,3.7,5.1,5.5,5.9,7.4,8.9,10.6,16.1
1993,58.7,19.4,38.5,67.4,109.5,15.3,19.1,23.6,30.6,37.5,47.4,56,65.4,80.9,93,101.5,141.2
1994,220.4,148.1,187.5,232.3,298.6,134.2,144.7,164.8,171.5,183.5,207.5,221,232.8,253.2,265,281.6,354.2
1995,472.4,328.2,432.2,528.3,643.2,302.6,321,361.5,386.2,429.9,480.6,499.5,520.6,564.5,594.5,615.7,735.5
1996,790.2,695.3,789.7,838.3,903.8,654.8,684.4,745,746.5,779.3,837.2,842.8,831,848.1,843.3,835,1017.1
1997,950.2,844,941,1001,1074,812.2,821.2,902.9,901.1,919.7,993.2,999.1,982.3,1026.2,1006.1,997.8,1214.8
1998,1051,1010,1069,1094,1255,988,1000,1059,1040,1047,1122,1110,1052,1112,1123,1164,1482
1999,1523,1248,1511,1642,1927,1167,1199,1385,1423,1472,1626,1618,1608,1684,1716,1789,2283
2000,2223,1899,2148,2336,2652,1830,1839,2018,2039,2101,2294,2302,2289,2367,2425,2508,3025
2001,3240,2781,3082,3393,3872,2733,2655,2964,2923,3054,3284,3364,3376,3405,3515,3578,4541
2002,4360,3836,4257,4547,5018,3760,3725,4031,4110,4187,4460,4597,4511,4521,4646,4694,5738
2003,5499,4800,5296,5549,6401,4696,4701,4986,5100,5221,5550,5615,5491,5556,5864,5990,7344
2004,6740,6173,6650,6930,7582,5932,6141,6428,6448,6524,7003,6982,6873,6918,6908,7046,8799
2005,8555,7638,8234,8674,9651,7346,7465,8093,8002,8089,8637,8651,8616,8829,8701,8931,11319
2006,10634,9397,10401,10949,12203,9016,9255,9914,9833,10257,11106,10883,10853,11127,11046,11303,14263
2007,13593,11876,12993,13494,15742,11430,11757,12448,12494,12787,13712,13546,13270,13677,13986,14656,18591
2008,17290,15424,16962,17556,18966,14771,15354,16172,16538,16643,17715,17758,17244,17739,17643,17598,21681
2009,18638,17441,18419,18673,20670,17119,17098,18129,18009,18007,19247,18872,18335,18838,18798,19215,24004
2010,20952,19485,20809,21031,23491,18938,19017,20589,20358,20279,21795,21325,20753,20999,20970,21486,28027
2011,23369,21354,23154,23352,26905,20669,20680,22673,22519,22779,24137,23598,23051,23468,23602,24296,32809
2012,26629,24407,26547,26127,30233,23746,24036,25487,25800,26385,27494,26684,25718,25996,26803,27448,36450
2013,29792,27339,30245,29578,33269,26840,26620,28693,30026,29723,30986,30229,29226,29346,30069,30290,39648
2014,32495,30057,32963,31730,35685,29535,29255,31486,32947,32272,33726,32515,30763,31929,32439,32546,42136
2015,34030,31566,34703,32983,36692,30929,31325,32642,34377,34380,35395,33901,32176,32911,33357,33347,43408
2016,36709,34000,37404,35744,39824,32660,33873,35501,36497,37270,38447,35888,35405,35843,35749,36195,47554
2017,39167,35983,40103,37723,42797,34422,35497,37899,39225,39679,41454,38073,37099,38047,38333,38848,51197
2018,43724,40691,44477,41830,46850,39017,40443,42364,43381,44076,45848,42413,41364,41774,42332,42595,55569
2019,47867,43944,48453,45726,51684,42263,43062,46324,48030,47926,49348,46509,44961,45541,46549,46285,62239
2020,51344,48390,50784,49021,56044,46674,47257,50948,49306,50747,52123,50145,47649,49259,49539,49274,69278
2021,,52143,57275,54133,,49516,51229,55208,56614,56171,58782,55170,52355,54687,54649,,
_____________,,,,,,,,,,,,,,,,,
